Ref,Val,Package,PosX,PosY,Rot,Side
"D7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",145.500000,-35.300000,90.000000,bottom
"D8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",145.500000,-50.300000,90.000000,bottom
"D9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",145.475000,-65.300000,90.000000,bottom
"D10","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",145.500000,-80.300000,90.000000,bottom
"D11","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",173.625000,-35.300000,90.000000,bottom
"D12","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",173.625000,-50.300000,90.000000,bottom
"D13","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",173.600000,-65.300000,90.000000,bottom
"D14","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",173.625000,-80.300000,90.000000,bottom
"J5","I2C","1X04_1MM_RA_GND",129.500000,-49.250000,90.000000,bottom
"J6","I2C","1X04_1MM_RA_GND",129.500000,-57.500000,90.000000,bottom
