Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",140.000000,-68.100000,90.000000,top
"C2","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",139.000000,-68.100000,90.000000,top
"C3","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",136.000000,-68.100000,90.000000,top
"C4","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",135.000000,-68.100000,90.000000,top
"C5","22p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",139.750000,-78.750000,0.000000,top
"C6","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",141.500000,-82.250000,90.000000,top
"C7","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",137.500000,-78.250000,90.000000,top
"C8","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",160.750000,-35.750000,90.000000,top
"C9","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",154.000000,-36.750000,0.000000,top
"C10","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",151.500000,-35.750000,90.000000,top
"C11","1u","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",144.750000,-36.750000,0.000000,top
"C12","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",142.000000,-78.250000,-90.000000,top
"C13","22u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",135.500000,-78.250000,90.000000,top
"C14","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",132.182500,-45.250000,180.000000,top
"C15","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",144.000000,-82.750000,-90.000000,top
"C16","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",146.767342,-60.350000,180.000000,top
"C17","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",146.767500,-64.250000,180.000000,top
"C18","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",139.350000,-54.232500,-90.000000,top
"C19","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",132.432500,-63.950000,0.000000,top
"C20","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",132.432500,-59.850000,0.000000,top
"C21","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",141.000000,-68.100000,90.000000,top
"C22","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",138.400000,-54.232500,-90.000000,top
"C23","22p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",146.750000,-52.750000,-90.000000,top
"C24","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",157.250000,-77.750000,-90.000000,top
"C25","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",158.250000,-77.750000,-90.000000,top
"C26","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",186.250000,-43.250000,0.000000,top
"C27","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",158.750000,-53.375000,180.000000,top
"C28","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",158.750000,-38.950000,180.000000,top
"C29","22p","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",143.500000,-55.000000,0.000000,top
"D1","1N4007","D_SOD-323_HandSoldering",155.000000,-50.000000,90.000000,top
"D2","1N4007","D_SOD-323_HandSoldering",157.500000,-50.000000,90.000000,top
"D3","1N4007","D_SOD-323_HandSoldering",160.000000,-50.000000,90.000000,top
"D4","1N5819WS","D_SOD-323_HandSoldering",154.500000,-34.000000,90.000000,top
"D5","1N5819WS","D_SOD-323_HandSoldering",145.250000,-34.000000,90.000000,top
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",129.300000,-55.250000,90.000000,top
"D15","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",173.625000,-50.300000,90.000000,top
"D16","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",173.600000,-65.300000,90.000000,top
